game_id,season,week,home_team,away_team,y_true,y_pred,vegas_home_line,home_covered,model_pick_home_ats,ats_correct,vegas_ats_correct,agrees_with_book
2010_13_WAS_NYG,2010,13,NYG,WAS,24.0,12.04319880747352,7.0,1,1,1,1,1
2010_13_JAX_TEN,2010,13,TEN,JAX,-11.0,0.9147949777051576,3.0,0,0,1,0,0
2010_13_OAK_SD,2010,13,SD,OAK,-15.0,13.687139041815982,12.5,0,1,0,0,1
2010_13_STL_ARI,2010,13,ARI,STL,-13.0,2.6182540952884814,-3.0,0,1,0,1,0
2010_13_DAL_IND,2010,13,IND,DAL,-3.0,4.726747929707791,5.5,0,0,1,0,0
2010_13_CAR_SEA,2010,13,SEA,CAR,17.0,5.170963050266816,4.5,1,1,1,1,1
2010_13_ATL_TB,2010,13,TB,ATL,-4.0,-3.61507998741851,-3.0,0,0,1,1,1
2010_13_PIT_BAL,2010,13,BAL,PIT,-3.0,4.302072891200376,3.0,0,1,0,0,1
2010_13_NYJ_NE,2010,13,NE,NYJ,42.0,7.043193429583016,4.0,1,1,1,1,1
2010_14_IND_TEN,2010,14,TEN,IND,-2.0,-5.904993625196535,-3.0,1,0,0,0,1
2010_14_CLE_BUF,2010,14,BUF,CLE,7.0,0.5950614022687517,1.0,1,0,0,1,0
2010_14_ATL_CAR,2010,14,CAR,ATL,-21.0,-7.564038251137708,-7.0,0,0,1,1,1
2010_14_GB_DET,2010,14,DET,GB,4.0,-7.121724539938551,-7.0,1,0,0,0,1
2010_14_OAK_JAX,2010,14,JAX,OAK,7.0,3.427968915494244,3.5,1,0,0,1,0
2010_14_CIN_PIT,2010,14,PIT,CIN,16.0,9.52321975659672,9.0,1,1,1,1,1
2010_14_TB_WAS,2010,14,WAS,TB,-1.0,-2.786579239139619,-1.0,0,0,1,1,1
2010_14_STL_NO,2010,14,NO,STL,18.0,11.69704466490375,9.5,1,1,1,1,1
2010_14_SEA_SF,2010,14,SF,SEA,19.0,1.7270334887891683,4.5,1,0,0,1,0
2010_14_DEN_ARI,2010,14,ARI,DEN,30.0,-1.4666030505523953,-4.0,1,1,1,0,0
2010_14_NE_CHI,2010,14,CHI,NE,-29.0,-7.447979231133591,-3.0,0,0,1,1,1
2010_14_MIA_NYJ,2010,14,NYJ,MIA,-4.0,5.123997025998198,5.0,0,1,0,0,1
2010_14_KC_SD,2010,14,SD,KC,31.0,7.868380936942998,10.0,1,0,0,1,0
2010_14_PHI_DAL,2010,14,DAL,PHI,-3.0,2.0121473033259645,-4.0,1,1,1,0,0
2010_14_NYG_MIN,2010,14,MIN,NYG,-18.0,0.5743979243472132,-4.5,0,1,0,1,0
2010_14_BAL_HOU,2010,14,HOU,BAL,-6.0,-0.8581349752755262,-3.0,0,1,0,1,0
2010_15_SF_SD,2010,15,SD,SF,27.0,13.824194967762184,10.0,1,1,1,1,1
2010_15_NO_BAL,2010,15,BAL,NO,6.0,-1.2815623096350397,1.0,1,0,0,1,0
2010_15_ARI_CAR,2010,15,CAR,ARI,7.0,1.597001169599214,2.5,1,0,0,1,0
2010_15_CLE_CIN,2010,15,CIN,CLE,2.0,-2.7941906211106966,1.0,1,0,0,1,0
2010_15_WAS_DAL,2010,15,DAL,WAS,3.0,7.097419389142092,9.5,0,0,1,0,0
2010_15_JAX_IND,2010,15,IND,JAX,10.0,4.397620732625108,4.0,1,1,1,1,1
2010_15_BUF_MIA,2010,15,MIA,BUF,-3.0,9.808762386013058,5.5,0,1,0,0,1
2010_15_PHI_NYG,2010,15,NYG,PHI,-7.0,2.501099915042487,3.0,0,0,1,0,0
2010_15_KC_STL,2010,15,STL,KC,-14.0,-3.241992382422016,3.0,0,0,1,0,0
2010_15_DET_TB,2010,15,TB,DET,-3.0,9.724866799132412,3.5,0,1,0,0,1
2010_15_HOU_TEN,2010,15,TEN,HOU,14.0,2.7864785410841773,2.0,1,1,1,1,1
2010_15_ATL_SEA,2010,15,SEA,ATL,-16.0,-3.179649028862729,-5.5,0,1,0,1,0
2010_15_DEN_OAK,2010,15,OAK,DEN,16.0,6.689412259615874,9.0,1,0,0,1,0
2010_15_NYJ_PIT,2010,15,PIT,NYJ,-5.0,4.889666307477941,3.5,0,1,0,0,1
2010_15_GB_NE,2010,15,NE,GB,4.0,9.686035863453723,14.0,0,0,1,0,0
2010_15_CHI_MIN,2010,15,MIN,CHI,-26.0,-2.3232656378566223,-5.5,0,1,0,1,0
2010_16_CAR_PIT,2010,16,PIT,CAR,24.0,11.220796796889054,14.0,1,0,0,1,0
2010_16_DAL_ARI,2010,16,ARI,DAL,1.0,-3.8760742572352016,-7.0,1,1,1,0,0
2010_16_NE_BUF,2010,16,BUF,NE,-31.0,-8.604586585459337,-7.0,0,0,1,1,1
2010_16_NYJ_CHI,2010,16,CHI,NYJ,4.0,1.7159796158206664,1.5,1,1,1,1,1
2010_16_BAL_CLE,2010,16,CLE,BAL,-10.0,-4.567425141997506,-3.5,0,0,1,1,1
2010_16_WAS_JAX,2010,16,JAX,WAS,-3.0,9.918292320698963,7.0,0,1,0,0,1
2010_16_TEN_KC,2010,16,KC,TEN,20.0,1.6829305092399844,4.0,1,0,0,1,0
2010_16_DET_MIA,2010,16,MIA,DET,-7.0,7.454547618875207,3.5,0,1,0,0,1
2010_16_SF_STL,2010,16,STL,SF,8.0,-1.145491975364317,2.0,1,0,0,1,0
2010_16_SD_CIN,2010,16,CIN,SD,14.0,-4.553775716082338,-9.0,1,1,1,0,0
2010_16_HOU_DEN,2010,16,DEN,HOU,1.0,-3.17852682397584,-2.0,1,0,0,0,1
2010_16_IND_OAK,2010,16,OAK,IND,-5.0,-4.327283752960791,-1.0,0,0,1,1,1
2010_16_NYG_GB,2010,16,GB,NYG,28.0,4.215349672296353,3.0,1,1,1,1,1
2010_16_SEA_TB,2010,16,TB,SEA,23.0,7.653443383094606,5.0,1,1,1,1,1
2010_16_NO_ATL,2010,16,ATL,NO,-3.0,3.0734023095016734,2.0,0,1,0,0,1
2010_16_MIN_PHI,2010,16,PHI,MIN,-10.0,7.776890750149388,14.0,0,0,1,0,0
2010_17_CAR_ATL,2010,17,ATL,CAR,21.0,12.242015301505866,14.0,1,0,0,1,0
2010_17_CIN_BAL,2010,17,BAL,CIN,6.0,8.247431852878568,9.5,0,0,1,0,0
2010_17_PIT_CLE,2010,17,CLE,PIT,-32.0,-5.647338568639231,-6.5,0,1,0,1,0
2010_17_MIN_DET,2010,17,DET,MIN,7.0,0.6020777516572191,3.5,1,0,0,1,0
2010_17_OAK_KC,2010,17,KC,OAK,-21.0,4.874924077418604,4.5,0,1,0,0,1
2010_17_MIA_NE,2010,17,NE,MIA,31.0,15.305188831039228,4.0,1,1,1,1,1
2010_17_TB_NO,2010,17,NO,TB,-10.0,3.7507824541408983,7.0,0,0,1,0,0
2010_17_BUF_NYJ,2010,17,NYJ,BUF,31.0,8.125555842046682,1.0,1,1,1,1,1
2010_17_SD_DEN,2010,17,DEN,SD,-5.0,-6.030517317319134,-5.0,0,0,1,1,1
2010_17_CHI_GB,2010,17,GB,CHI,7.0,3.33907729214616,11.0,0,0,1,0,0
2010_17_JAX_HOU,2010,17,HOU,JAX,17.0,3.3593267546597128,4.5,1,0,0,1,0
2010_17_TEN_IND,2010,17,IND,TEN,3.0,5.103139660540821,9.0,0,0,1,0,0
2010_17_DAL_PHI,2010,17,PHI,DAL,-1.0,4.536894938983097,-1.5,1,1,1,0,0
2010_17_ARI_SF,2010,17,SF,ARI,31.0,3.048015143837725,6.0,1,0,0,1,0
2010_17_NYG_WAS,2010,17,WAS,NYG,-3.0,-3.290324592385104,-4.5,1,1,1,0,0
2010_17_STL_SEA,2010,17,SEA,STL,10.0,4.534270592383923,-3.0,1,1,1,0,0
2011_01_NO_GB,2011,1,GB,NO,8.0,2.728070988657846,4.5,1,0,0,1,0
2011_01_PIT_BAL,2011,1,BAL,PIT,28.0,3.124030205471604,1.0,1,1,1,1,1
2011_01_ATL_CHI,2011,1,CHI,ATL,18.0,-1.6782499682760332,-1.0,1,0,0,0,1
2011_01_CIN_CLE,2011,1,CLE,CIN,-10.0,3.057243659575327,6.5,0,0,1,0,0
2011_01_IND_HOU,2011,1,HOU,IND,27.0,0.053486446963428,9.0,1,0,0,1,0
